,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,30,31,32,40,50
,Boschi di larice e cembro,Boschi di abete rosso,Boschi di abete bianco,Pinete di pino silvestre e montano,"Pinete di pino nero, laricio e loricato",Pinete di pini mediterranei,"Altri boschi di conifere, pure o miste",Piantagioni di conifere,Faggete,"Querceti di rovere, roverella e farnia","Cerrete, boschi di farnetto, fragno e vallonea",Castagneti,"Ostrieti, carpineti",Boschi igrofili,Altri boschi caducifogli,Leccete,Sugherete,Altri boschi di latifoglie sempreverdi,Non classificato,Macchia alta
Piemonte,4.2,23.0,8.8,11.6,5.2,1.4,10.5,3.6,6.0,5.7,11.5,22.4,7.4,6.2,8.0,0.0,0.0,0.0,2.0,
Valle d'Aosta,4.5,9.2,62.2,13.6,5.6,0.0,0.0,0.0,12.3,6.2,0.0,22.9,0.0,0.0,12.2,0.0,0.0,0.0,0.0,
Lombardia,9.3,10.9,11.3,6.0,13.3,0.0,8.5,14.7,5.8,7.4,4.4,23.5,3.7,18.1,8.5,0.0,0.0,0.9,3.1,
Alto Adige,10.1,9.7,9.6,6.5,1.0,0.0,0.0,0.0,15.8,8.2,0.0,22.7,12.8,7.9,6.9,0.0,0.0,0.0,22.7,
Trentino,6.9,15.0,10.3,5.1,5.0,0.0,0.0,0.0,6.4,4.4,0.0,10.0,3.8,15.5,10.2,0.0,0.0,0.0,0.0,
Trentino-Alto Adige,8.5,12.4,10.0,5.8,3.0,0.0,0.0,0.0,11.1,6.3,0.0,16.4,8.3,11.7,8.6,0.0,0.0,0.0,22.7,
Veneto,4.4,10.0,13.9,5.0,1.2,15.5,0.0,0.0,6.9,4.9,0.0,21.5,5.8,7.0,4.1,3.6,0.0,0.0,0.0,
Friuli Venezia Giulia,5.5,17.6,18.7,12.4,7.6,5.5,4.0,0.0,10.0,7.9,0.0,31.0,6.9,7.5,12.5,0.0,0.0,0.0,0.0,
Liguria,19.5,0.1,14.0,10.0,5.2,10.2,17.5,0.0,4.3,5.1,11.2,23.8,6.6,15.5,6.5,5.6,0.0,0.0,0.5,
Emilia-Romagna,0.0,18.4,20.0,6.0,12.5,3.8,11.7,44.1,3.6,2.8,4.7,19.7,5.8,8.4,6.9,8.7,0.0,0.0,0.0,
Toscana,0.0,45.9,22.3,18.9,27.1,9.6,14.6,8.9,2.8,3.3,3.1,25.7,9.1,11.0,10.1,3.5,1.3,0.7,0.7,
Umbria,0.0,0.0,0.0,4.1,4.5,8.8,11.0,0.0,3.4,1.1,2.7,8.1,1.6,12.6,2.5,4.1,0.0,0.0,0.0,
Marche,0.0,2.2,0.0,0.0,6.2,9.3,1.7,0.0,4.7,2.3,1.1,39.4,1.8,18.2,5.4,1.3,0.0,0.0,0.0,
Lazio,0.0,6.6,0.0,0.0,5.8,6.2,4.7,0.0,2.4,1.4,3.3,10.3,2.1,13.9,7.1,3.0,5.6,5.3,0.6,
Abruzzo,0.0,4.5,7.1,12.5,2.8,5.7,2.3,0.0,3.5,1.1,3.2,15.5,3.7,6.4,2.6,1.4,0.0,0.0,0.4,
Molise,0.0,0.0,4.3,0.0,1.1,0.0,0.0,0.0,1.9,0.7,1.9,4.3,2.0,4.4,4.6,1.5,0.0,0.0,0.0,
Campania,0.0,0.0,0.0,0.0,14.9,10.8,4.5,0.0,4.5,2.2,0.9,9.2,1.9,7.8,5.7,2.8,4.4,0.0,0.7,
Puglia,0.0,0.0,0.0,0.0,2.9,1.3,3.1,0.0,2.3,0.8,0.4,3.8,1.0,0.9,4.2,1.0,0.0,2.3,1.4,
Basilicata,0.0,0.0,8.7,0.0,2.1,0.7,6.2,0.0,3.6,0.5,0.7,22.7,2.5,5.8,2.3,0.1,0.0,13.4,1.7,
Calabria,0.0,0.0,9.2,0.0,10.5,10.8,18.3,4.3,3.0,4.0,6.8,9.8,0.0,5.0,4.7,5.4,2.2,2.7,2.0,
Sicilia,0.0,0.0,0.0,0.0,1.4,4.7,2.1,0.0,1.1,2.7,0.7,9.7,1.7,1.3,1.0,1.7,1.1,1.2,0.0,
Sardegna,0.0,0.0,0.0,0.0,2.1,2.2,8.3,0.1,0.0,0.6,0.0,4.9,0.0,3.4,0.2,1.8,0.8,0.9,0.5,
Italia,6.9,12.2,12.8,8.2,9.3,6.2,9.4,7.7,4.8,2.6,2.8,20.5,4.4,9.4,7.1,2.7,1.0,1.7,4.5,
